name	sample_id	aliquot_id
RNAseq_wf_TCGA-Q1-A6DW-01A-11R-A32P-07	TCGA-Q1-A6DW-01A	TCGA-Q1-A6DW-01A-11R-A32P-07
RNAseq_wf_TCGA-Q1-A73P-01A-11R-A32P-07	TCGA-Q1-A73P-01A	TCGA-Q1-A73P-01A-11R-A32P-07
RNAseq_wf_TCGA-Q1-A73R-01A-11R-A33Z-07	TCGA-Q1-A73R-01A	TCGA-Q1-A73R-01A-11R-A33Z-07
RNAseq_wf_TCGA-VS-A9V0-01A-11R-A42T-07	TCGA-VS-A9V0-01A	TCGA-VS-A9V0-01A-11R-A42T-07
RNAseq_wf_TCGA-D5-5538-01A-01R-1653-07	TCGA-D5-5538-01A	TCGA-D5-5538-01A-01R-1653-07
RNAseq_wf_TCGA-DM-A1HA-01A-11R-A155-07	TCGA-DM-A1HA-01A	TCGA-DM-A1HA-01A-11R-A155-07
RNAseq_wf_TCGA-DM-A280-01A-12R-A16W-07	TCGA-DM-A280-01A	TCGA-DM-A280-01A-12R-A16W-07
RNAseq_wf_TCGA-DM-A288-01A-11R-A16W-07	TCGA-DM-A288-01A	TCGA-DM-A288-01A-11R-A16W-07
RNAseq_wf_TCGA-DM-A28A-01A-21R-A32Y-07	TCGA-DM-A28A-01A	TCGA-DM-A28A-01A-21R-A32Y-07
RNAseq_wf_TCGA-DM-A28F-01A-11R-A32Y-07	TCGA-DM-A28F-01A	TCGA-DM-A28F-01A-11R-A32Y-07
RNAseq_wf_TCGA-F4-6459-01A-11R-1774-07	TCGA-F4-6459-01A	TCGA-F4-6459-01A-11R-1774-07
RNAseq_wf_TCGA-F4-6461-01A-11R-1774-07	TCGA-F4-6461-01A	TCGA-F4-6461-01A-11R-1774-07
RNAseq_wf_TCGA-S8-A6BW-01A-11R-A31P-31	TCGA-S8-A6BW-01A	TCGA-S8-A6BW-01A-11R-A31P-31
RNAseq_wf_TCGA-06-5412-01A-01R-1849-01	TCGA-06-5412-01A	TCGA-06-5412-01A-01R-1849-01
RNAseq_wf_TCGA-06-5413-01A-01R-1849-01	TCGA-06-5413-01A	TCGA-06-5413-01A-01R-1849-01
RNAseq_wf_TCGA-06-5418-01A-01R-1849-01	TCGA-06-5418-01A	TCGA-06-5418-01A-01R-1849-01
RNAseq_wf_TCGA-06-5856-01A-01R-1849-01	TCGA-06-5856-01A	TCGA-06-5856-01A-01R-1849-01
RNAseq_wf_TCGA-06-5859-01A-01R-1849-01	TCGA-06-5859-01A	TCGA-06-5859-01A-01R-1849-01
RNAseq_wf_TCGA-CV-5978-01A-11R-1686-07	TCGA-CV-5978-01A	TCGA-CV-5978-01A-11R-1686-07
RNAseq_wf_TCGA-CV-5979-01A-11R-1686-07	TCGA-CV-5979-01A	TCGA-CV-5979-01A-11R-1686-07
RNAseq_wf_TCGA-CV-6433-01A-11R-1686-07	TCGA-CV-6433-01A	TCGA-CV-6433-01A-11R-1686-07
RNAseq_wf_TCGA-CV-6441-01A-11R-1686-07	TCGA-CV-6441-01A	TCGA-CV-6441-01A-11R-1686-07
RNAseq_wf_TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6933-01A	TCGA-CV-6933-01A-11R-1915-07
RNAseq_wf_TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6935-01A	TCGA-CV-6935-01A-11R-1915-07
RNAseq_wf_TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6936-01A	TCGA-CV-6936-01A-11R-1915-07
RNAseq_wf_TCGA-CV-6937-01A-11R-2016-07	TCGA-CV-6937-01A	TCGA-CV-6937-01A-11R-2016-07
